Host Country or Institution,Date of the Summit,"Number of 
the Summit",Title of the event slogan,Categories - Topics ,"Main Topics 
",Number of African Heads of States Attended,"Link to final declaration
","Date of the next event 
",sources 
South Korea,04 - 05 June 2024,1st,"‘The Future We Make Together: Shared Growth, Sustainability and Solidarity’ ","Natural Resources & CRM, Climate Change & Environment, Agriculture & Food Security, Health & WASH, Trade & Investment, Infrastructure, Digital Technology & Innovation, Education & Capacity Building, Peace & Security, Energy, Humanitarian Aid","Critical Minerals, climate change, food security, supply chain stability, health security, trade & investment, infrastructure, science, digital techology, education, peace and security, energy ",25,"Joint Declaration 2024 Korea-Africa Summit
",2026,
Turkey,18-21 August 2008 Istambul,1st ,"""Solidarity and Partnership for a 
Common Future""","Trade & Investment, Agriculture & Food Security, Private Sector Development, Health & WASH, Peace & Security, Energy , Infrastructure, Culture & Sports, Tourism, Education & Capacity Building, Media & Communication, Climate Change & Environment","Inter-governmental Cooperation;
Trade and Investment;
Agriculture, Agribusiness, Rural Development, Water
Resources Management
and Small and Medium Scale Enterprises (SMEs);
Health;
Peace and Security;
Infrastructure, Energy and Transport;
Culture, Tourism and Education;
Media and Information and Communication Technology.
Environment, energy, climate change",,"The Istanbul Declaration on Türkiye-Africa:
Solidarity and Partnership for a Common Future",,
Turkey,"19-21 November 2014
Malabo",2nd  ,“A New Model of Partnership to Enhance a Sustainable Development and Integration”,"Energy, Peace & Security, Climate Change & Environment, Culture & Sports, Tourism, Education & Capacity Building, ""Women, Youth & Gender Equality"", Agriculture & Food Security, Health & WASH, Private Sector Development, Migration, Infrastructure, Natural Resources & CRM, Media & Communication, Trade & Investment","Peace, Security
Trade and investment
Climate Change
Culture,Tourism, Education
Women Empowerment, food security, agriculture, water, MSE, health, migration, infrastructure, energy, mining, media, environment, youth, sport ",,"Africa-Turkey Summit Declaration: New Model of
Partenership for the Strengthening of Sustainable 
Development and Integration",,https://www.auti.africa/wp-content/uploads/2019/02/Africa-Turkey-Partnership.pdf
Turkey,"16-18 December 2021
Istanbul",3rd ,"“Enhanced Partnership for 
Common Development and Prosperity”","Peace & Security, Trade & Investment, Industrialization / Economic Diversification / Structural Transformation, Education & Capacity Building, Digital Technology & Innovation, ""Women, Youth & Gender Equality"", Infrastructure, Agriculture & Food Security, Media & Communication, Space, Climate Change & Environment","Peace, Security and Governance;
Trade, Investment and Industry;
Education, STI skills, Youth and Women Development;
Infrastructure Development and Agriculture; and
Promoting Resilient Health Systems; economic diversification, digital economy, media, spacel, water, environment,",16 African Heads of state,"Third Africa-Türkiye Parnership Summit: Enhanced
Partnership for Common Development and
Prosperity",2026 in Africa,
China,"10-12 October 2000
Beijing",1st,,"Trade & Investment, Agriculture & Food Security, Health & WASH, Culture & Sports, Education & Capacity Building, Climate Change & Environment, Tourism, Peace & Security","Economics & Trade & Investment, agriculture, health, science& technology, culture, education, transportation, environment, tourism, peace and security, capacity building, ",52,"Beijing Declaration of the Forum on China-Africa 
Cooperation",,
China,"2003
Addis Ababa",2nd,Pragmatic and Action-Oriented Cooperation,"Trade & Investment, Natural Resources & CRM, Energy, Tourism, Agriculture & Food Security, Infrastructure, Peace & Security, Education & Capacity Building, Health & WASH, Culture & Sports","trade, raw material supplies and energy, geopolitics, debt exemptions, tourism, agriculture, infrastructure, security, education, health, culture","6 presidents (Congo-Brazzaville, Mozambique, Sudan, Uganda, Zimbabwe, Comoros) 3 prime ministers (Ethiopia, Tanzaniaattended the opening ceremony ",,,https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_14.html
China,"4-5 Novenmer 2006
Beijing",3rd,"""Friendship, peace, cooperation and development""","Trade & Investment, Agriculture & Food Security, Infrastructure, Health & WASH, Education & Capacity Building, Culture & Sports, ""Women, Youth & Gender Equality"", Peace & Security, Energy, Natural Resources & CRM, Climate Change & Environment, Digital Technology & Innovation, Tourism, Humanitarian Aid, Media & Communication, Migration","trade and investment, agriculture, infrastructure, health, education, culture, youth, security,",,"Declaration of the Beijing Summit Of the Forum on
 China-Africa Cooperation",,
China,"2009
Sharm el Sheikh",4th,"""Deepening the new type of China-Africa Strategic Partnership for sustainable development""","Climate Change & Environment, Health & WASH, Trade & Investment, Education & Capacity Building, Media & Communication, Infrastructure, Culture & Sports, Tourism, Energy, Natural Resources & CRM, Peace & Security, ""Women, Youth & Gender Equality"", Migration","food security, climate change, health, trade and investment, environmental protection, education, communication and information technologies, infrastructure, agriculture, culture, science, sports, tourism, energy, natural resources, peace and security, women, migration",,"Declaration of Sharm El Sheikh of the Forum on 
China-Africa Cooperation
",,
China,"19-20 July 2012
Beijing",5th,"""Build on past achievements and open up new prospects for the new type of China-Africa strategic partnership""","Peace & Security, Trade & Investment, Infrastructure, Education & Capacity Building, Agriculture & Food Security, Digital Technology & Innovation, Culture & Sports, Tourism, Energy, Climate Change & Environment, Natural Resources & CRM, Industrialization / Economic Diversification / Structural Transformation, Democracy & Good Governance, Health & WASH, Space, ""Women, Youth & Gender Equality"", Humanitarian Aid, Media & Communication","peace and security, trade and investment, poverty reduction, infrastructure, education, capacity building, food security, high-tech industries, culture, sports, tourism, energy, climate change, natural resources, industrialization, environment, democracy and good governacne, water, space, women, humanitarian, media","6 presidents (South Africa, Equatorial Guinea, Benin, Djibouti, Niger, Cote d'Ivoire) + 2 PMs (Cabo Verde, Kenya) at the opening ceremony ","Beijing Declaration of the Fifth Ministerial Conference 
of the Forum on China-Africa Cooperation",,
China,"4-5 December 2015
Johannesburg",6th,"""China-Africa Progressing Together: 
Win-Win Cooperation for Common 
Development""","Peace & Security, Industrialization / Economic Diversification / Structural Transformation, Agriculture & Food Security, Infrastructure, Education & Capacity Building, Energy, Tourism, Digital Technology & Innovation, Health & WASH, Climate Change & Environment, Natural Resources & CRM, Trade & Investment, Space, Nuclear Technology, Culture & Sports, ""Women, Youth & Gender Equality"", Media & Communication","peace and stability, industrialization and agricultural modernization, infrastructure, capacity building, agriculture, food security, energy, tourism, technology transfer, benefication, technology, health, education, environmental protection, mining, trade and investment, space, nuclear, culture, women, media",,"Declaration of the Johannesburg Summit of the 
Forum on China-Africa Cooperation",http://www.focac.org/eng/zywx_1/zywj/201512/t20151225_7933575.htm,
China,"2018
Beijing",7th,"""China and Africa: Toward an Even Stronger Community with a Shared Future through Win-Win Cooperation""","Agriculture & Food Security, Industrialization / Economic Diversification / Structural Transformation, Infrastructure, Energy, Natural Resources & CRM, Tourism, Trade & Investment, Health & WASH, Education & Capacity Building, Digital Technology & Innovation, Climate Change & Environment, Culture & Sports, Peace & Security, Private Sector Development, Space, ""Women, Youth & Gender Equality"", Media & Communication","agriculture, food security, industrialization, infrastructure, energy, natural resources, tourism, trade and investment, health, education, science and technology, environment, culture, peace and security, entrepreneurship, space, women, media",,Beijing Declaration-Toward an Even Stronger China-Africa Community with a Shared Future,http://focacsummit.mfa.gov.cn/eng/hyqk_1/201809/t20180912_5858585.htm,
China,"29-30 Novembre 2021
Dakar",8th,"“Deepen China-Africa Partnership and 
Promote Sustainable Development to 
Build a China-Africa Community with a 
Shared Future in the New Era.”
","Agriculture & Food Security, Infrastructure, Industrialization / Economic Diversification / Structural Transformation, Trade & Investment, Digital Technology & Innovation, Health & WASH, Education & Capacity Building, Tourism, Culture & Sports, Peace & Security, Climate Change & Environment, Energy, Natural Resources & CRM, Space, Nuclear Technology, ""Women, Youth & Gender Equality"", Humanitarian Aid, Media & Communication","agriculture, food security, infrastructure, industrialization, trade and investment, digital economy, health, education, science and technology, cybersecurity, tourism, culture, peace and security, environmental protection, energy and natural resources, space, nuclear, women, humanitarian, media",53 pays ,"Dakar Declaration of the Eighth Ministerial Conference
of the Forum on China-Africa Cooperation",http://www.focac.org/eng/zywx_1/zywj/202201/t20220124_10632444.htm,
China,"4-6 September, 2024",9th,"""Joining Hands to Advance Modernization and Build a High-Level China-Africa Community with a Shared Future""","Peace & Security, Industrialization / Economic Diversification / Structural Transformation, Climate Change & Environment, Trade & Investment, Agriculture & Food Security, Health & WASH, Anti-Corruption, Energy, Infrastructure, Education & Capacity Building, ""Women, Youth & Gender Equality"", Culture & Sports, Tourism, Digital Technology & Innovation","state governance, industrialization and agricultural modernization, peace and security, and high-quality Belt and Road cooperation, Green development, Trade Prosperity, Agriculture, health, Anti-corruption, energy, infrastructure, Education, Women and Youth, Culture, Tourism, Sports, Digital Economy",53 African Heads of State,Beijing Declaration on Jointly Building an All-Weather China-Africa Community with a Shared Future for the New Era,"Congo, 2027","https://www.mfa.gov.cn/eng/xw/zyxw/202409/t20240905_11485719.html#:~:text=China%20will%20support%20Africa%20in,100%2C000%20mu%20(6667%20hectares)%20of"
U.S.,"4-6 August 2014
Washington DC",1st,"“Investing in the Next Generation,”","""Women, Youth & Gender Equality"", Health & WASH, Agriculture & Food Security, Trade & Investment, Democracy & Good Governance, Energy, Climate Change & Environment, Peace & Security","Gender Equality, Health, Youth, Food Security, Climate Change, Trade, Governance & Democracy, Energy, Investment, Peace and Security, ","36 Presidents, 9 PMs ","Statement by the Chair of the U.S.-Africa Leaders 
Summit
",https://obamawhitehouse.archives.gov/us-africa-leaders-summit,
U.S.,13-15 Decembre 2022,2nd,"Strengthening Partnerships to Meet 
Shared Priorities","Democracy & Good Governance, Trade & Investment, Climate Change & Environment, ""Women, Youth & Gender Equality"", Education & Capacity Building, Health & WASH, Agriculture & Food Security, Digital Technology & Innovation, Peace & Security, Space","Democracy & Governance, Trade & Investment, Climate, Youth, Education, Diaspora, Education, Health, Food Security, Gender Equality, Digital Transformation, Peace & Security, Space, ",,"U.S.-Africa Leaders Summit: Strengthening 
Partnerships to Meet Shared Priorities
",,
France,"13 November 1973
Paris",1st,Un nouveau cadre de dialogue,,,"Heads of states:
Cote d'Ivoire, France,Gabon,
Haute-Volta, Centrafrique,
Niger, Senegal
Ministerial delegation:
Congo, Dahomey, Togo, Mali",,,
